species	alpha	n_ieqtl	n_hit	rate
human	0.5	2727	2526	0.926292629262926
pig	0.5	29818	21917	0.735025823328191
human	0.1	2727	2261	0.829116244957829
pig	0.1	29818	12498	0.419142799651217
human	0.05	2727	2203	0.807847451411808
pig	0.05	29818	10161	0.340767321751962
human	0.01	2727	2083	0.763843050971764
pig	0.01	29818	6680	0.224025756254611
human	0.001	2727	1993	0.730839750641731
pig	0.001	29818	4148	0.139110604332953
human	1e-04	2727	1904	0.698203153648698
pig	1e-04	29818	2941	0.0986316989737742
human	1e-05	2727	1825	0.669233590025669
pig	1e-05	29818	2220	0.074451673485814
human	1e-06	2727	1743	0.639163916391639
pig	1e-06	29818	1744	0.05848816151318
human	1e-08	2727	1612	0.591125779244591
pig	1e-08	29818	1226	0.04111610436649
human	1e-10	2727	1472	0.53978731206454
pig	1e-10	29818	948	0.0317928767858341
