comparison	rule	model	term	estimate	se	ci_lo	ci_hi	p_value	n
pooled	bulk_sig	tss	speciespig:log10(abs_tss_dist)	0.385764354973143	0.0702849204208429	0.248008442292027	0.523520267654259	4.05179503334443e-08	32545
pooled	bulk_sig	tss_adj	speciespig:log10(abs_tss_dist)	0.372807480818173	0.0702942987738663	0.235033186902897	0.510581774733449	1.1358843769664e-07	32545
pooled	bulk_sig	maf	speciespig:maf	-1.51742496478863	0.403600455514235	-2.30846732174049	-0.726382607836773	0.000170103195505409	32545
pooled	bulk_sig	maf_adj	speciespig:maf	-1.47315282796197	0.405813888095809	-2.26853343305593	-0.67777222286802	0.000283290252061344	32545
lung_epithelium	bulk_sig	tss	speciespig:log10(abs_tss_dist)	1.60109668241584	1.21882585969587	-0.787758106014136	3.98995147084582	0.188967856196666	367
lung_epithelium	bulk_sig	maf	speciespig:maf	-5.35191107004003	5.39031866096749	-15.9167415107305	5.21291937065041	0.320771016379122	367
brain_neurons	bulk_sig	tss	speciespig:log10(abs_tss_dist)	-0.368063452336796	0.354695418024413	-1.06325369714602	0.327126792472434	0.299414974496286	3265
brain_neurons	bulk_sig	maf	speciespig:maf	-1.41989848703504	3.32250950667322	-7.93189745840649	5.09210048433641	0.669119148407759	3265
pooled	bulk_nom	tss	speciespig:log10(abs_tss_dist)	0.949032656462291	0.0838838578290081	0.784623316233157	1.11344199669143	1.12317117238591e-29	32545
pooled	bulk_nom	tss_adj	speciespig:log10(abs_tss_dist)	0.944267737713503	0.0838590870960949	0.779906947228749	1.10862852819826	2.06355750552389e-29	32545
pooled	bulk_nom	maf	speciespig:maf	-2.38462791709486	0.448420784653492	-3.26351650493489	-1.50573932925482	1.05009003937268e-07	32545
pooled	bulk_nom	maf_adj	speciespig:maf	-2.36983695379216	0.448641110952306	-3.24915737324272	-1.49051653434161	1.27603104372381e-07	32545
lung_epithelium	bulk_nom	tss	speciespig:log10(abs_tss_dist)	1.48302126095293	0.713772463850457	0.0840529386496198	2.88198958325624	0.0377349057218781	367
lung_epithelium	bulk_nom	maf	speciespig:maf	-2.53503687593679	3.44130263857525	-9.27986610744693	4.20979235557336	0.461334992817237	367
brain_neurons	bulk_nom	tss	speciespig:log10(abs_tss_dist)	1.24311853152613	0.786588925247192	-0.298567432596435	2.78480449564869	0.114017213645361	3265
brain_neurons	bulk_nom	maf	speciespig:maf	-0.734580166126886	4.40499546531703	-9.36821263021052	7.89905229795675	0.867558335525269	3265
