comparison	stratifier	species	stratum	stratum_idx	n_ieqtl	n_bulk_sig	n_bulk_emt	n_bulk_nom	n_bulk_pair	median_z_g	n_samples	n_pairs	rate	rate_emt	rate_nom	rate_pair	ci_lo	ci_hi
pooled	overall	human	all	1	2727	1904	1871	2203	1888	7.42458310630885	481	32	0.698203153648698	0.686101943527686	0.807847451411808	0.692335900256692	0.680705456869663	0.715143227977398
pooled	overall	pig	all	1	29818	3570	2769	10161	3391	1.36500375855235	405	41	0.119726339794755	0.0928633711181166	0.340767321751962	0.113723254410088	0.116090447645129	0.123460200784319
pooled	tss_distance	human	<10kb	1	823	691	681	762	684	10.3336277588764	482	27	0.839611178614824	0.827460510328068	0.92588092345079	0.831105710814095	0.812970802448475	0.863095925987336
pooled	tss_distance	human	10-50kb	2	889	714	702	795	709	8.65752155999794	495	24	0.803149606299213	0.789651293588301	0.894263217097863	0.797525309336333	0.775731525910784	0.827959078591315
pooled	tss_distance	human	50-100kb	3	361	261	256	304	258	6.92575770690307	480	20	0.722991689750693	0.709141274238227	0.842105263157895	0.714681440443213	0.674663041153384	0.766624526658709
pooled	tss_distance	human	100-250kb	4	289	173	171	217	172	5.60872588426889	479	19	0.598615916955017	0.591695501730104	0.750865051903114	0.595155709342561	0.541165624437711	0.653478946141692
pooled	tss_distance	human	250-500kb	5	165	55	51	81	55	1.93872945689695	461	21	0.333333333333333	0.309090909090909	0.490909090909091	0.333333333333333	0.265918920862917	0.408331702271009
pooled	tss_distance	human	500kb-1Mb	6	200	10	10	44	10	1.01925990093939	436	20	0.05	0.05	0.22	0.05	0.0273826456007639	0.089578148138776
pooled	tss_distance	pig	<10kb	1	772	243	216	413	233	2.18147263950075	400	32	0.314766839378238	0.27979274611399	0.534974093264249	0.301813471502591	0.282991635099051	0.34837635026908
pooled	tss_distance	pig	10-50kb	2	2418	561	479	1130	555	1.80762883677905	405	37	0.232009925558313	0.198097601323408	0.467328370554177	0.229528535980149	0.215618136427726	0.249251871772116
pooled	tss_distance	pig	50-100kb	3	2317	421	337	964	398	1.62159689891368	405	36	0.181700474751834	0.145446698316789	0.416055243849806	0.171773845489858	0.166530770788777	0.197923878022305
pooled	tss_distance	pig	100-250kb	4	5211	724	565	1940	699	1.45946812464711	405	37	0.138936864325465	0.108424486662829	0.372289387833429	0.134139320667818	0.129811487842189	0.148594187629491
pooled	tss_distance	pig	250-500kb	5	6729	708	537	2202	662	1.318897145439	404	37	0.105216228265716	0.079803834150691	0.327240303165403	0.0983801456382821	0.0981089363666057	0.112774012163329
pooled	tss_distance	pig	500kb-1Mb	6	12371	913	635	3512	844	1.22289634473148	405	39	0.0738016328510226	0.051329722738663	0.283889742138873	0.0682240724274513	0.0693256187662921	0.0785422520997542
pooled	maf	human	[0.1,0.15]	1	302	163	160	212	159	4.80091494762007	492	23	0.539735099337748	0.529801324503311	0.701986754966887	0.526490066225166	0.483374654626978	0.59509737494201
pooled	maf	human	(0.15,0.2]	2	322	209	206	244	207	6.37550474904877	470	20	0.649068322981366	0.639751552795031	0.75776397515528	0.642857142857143	0.595460634958639	0.699161173903405
pooled	maf	human	(0.2,0.25]	3	323	213	212	251	212	6.0630923489116	474	19	0.659442724458204	0.656346749226006	0.777089783281734	0.656346749226006	0.606158246278849	0.70897925302018
pooled	maf	human	(0.25,0.3]	4	378	276	266	311	276	7.31761900522591	481	24	0.73015873015873	0.703703703703704	0.822751322751323	0.73015873015873	0.683261623609484	0.77242488182498
pooled	maf	human	(0.3,0.35]	5	360	263	259	302	263	7.8771367243228	477	25	0.730555555555556	0.719444444444445	0.838888888888889	0.730555555555556	0.682468111318334	0.773774562449657
pooled	maf	human	(0.35,0.4]	6	351	263	260	301	262	9.15237473315996	487	24	0.749287749287749	0.740740740740741	0.857549857549858	0.746438746438746	0.701411801297093	0.791766195945979
pooled	maf	human	(0.4,0.45]	7	335	244	239	273	241	7.44597144536402	482	20	0.728358208955224	0.713432835820896	0.814925373134328	0.719402985074627	0.678337623153699	0.773200982932175
pooled	maf	human	(0.45,0.5]	8	356	273	269	309	268	9.34747799145134	486	20	0.76685393258427	0.75561797752809	0.867977528089888	0.752808988764045	0.720224302358352	0.807786007022579
pooled	maf	pig	[0.1,0.15]	1	6211	621	450	2062	578	1.34478902246276	410	35	0.0999838995330865	0.0724521011109322	0.331991627757205	0.093060698760264	0.0927690414663567	0.107693265911167
pooled	maf	pig	(0.15,0.2]	2	5596	629	452	1950	586	1.3886814445145	406	38	0.112401715511079	0.0807719799857041	0.348463187991422	0.104717655468192	0.104390488262558	0.12094472311795
pooled	maf	pig	(0.2,0.25]	3	3914	469	360	1298	438	1.36433207871269	404	35	0.119826264690853	0.0919775166070516	0.331630045988758	0.111905978538579	0.110023041615244	0.130375011424962
pooled	maf	pig	(0.25,0.3]	4	3286	394	302	1077	380	1.33631763207037	405	36	0.119902617163725	0.0919050517346318	0.327754108338405	0.115642118076689	0.109237134527887	0.131455758650177
pooled	maf	pig	(0.3,0.35]	5	3043	412	348	1037	401	1.35306758174943	402	37	0.135392704567861	0.114360828130135	0.340782122905028	0.131777850805127	0.123694995254553	0.148009807902851
pooled	maf	pig	(0.35,0.4]	6	2812	376	300	987	359	1.37603575573356	400	35	0.13371266002845	0.106685633001422	0.35099573257468	0.127667140825036	0.121631681306836	0.146793039997341
pooled	maf	pig	(0.4,0.45]	7	2554	347	288	918	335	1.40524636655512	403	33	0.135865309318716	0.112764291307753	0.359436178543461	0.131166797180893	0.123122201211675	0.149702158724393
pooled	maf	pig	(0.45,0.5]	8	2402	322	269	832	314	1.3512032987735	401	35	0.134054954204829	0.111990008326395	0.346378018318068	0.130724396336386	0.121012249319884	0.148266283746155
lung_epithelium	overall	human	all	1	66	51	50	57	50	9.19427695605753	515	1	0.772727272727273	0.757575757575758	0.863636363636364	0.757575757575758	0.658305446353617	0.85714770436627
lung_epithelium	overall	pig	all	1	301	4	4	89	2	1.34764293741921	149	2	0.0132890365448505	0.0132890365448505	0.295681063122924	0.00664451827242525	0.00517965652278282	0.0336649903520348
lung_epithelium	tss_distance	human	<10kb	1	18	16	16	17	15	12.0839608108039	515	1	0.888888888888889	0.888888888888889	0.944444444444444	0.833333333333333	0.672002348698212	0.968980477354388
lung_epithelium	tss_distance	human	10-50kb	2	27	22	21	24	22	9.54719558122019	515	1	0.814814814814815	0.777777777777778	0.888888888888889	0.814814814814815	0.633013163814516	0.918192928570235
lung_epithelium	tss_distance	human	50-100kb	3	11	11	11	11	11	9.32021118707574	515	1	1	1	1	1	0.741167033031968	1
