species	tss_bin	n	med_bgi	q1_bgi	q3_bgi	med_bg	q1_bg	q3_bg	med_se_gi	med_maf	rel_bgi	rel_bg
human	<10kb	823	0.190698	0.1451135	0.260372	0.317658	0.1631215	0.541917	0.0292076	0.32337	1	1
human	10-50kb	889	0.187536	0.138819	0.249776	0.265009	0.130489	0.46012	0.0293203	0.309783	0.983418808797156	0.83425885700974
human	50-100kb	361	0.182444	0.139645	0.246083	0.229842	0.0967264	0.403108	0.0304162	0.320652	0.956716903166263	0.723551744328806
human	100-250kb	289	0.181776	0.133648	0.237305	0.181215	0.059517	0.348443	0.0317651	0.3	0.953213982317591	0.570472017074967
human	250-500kb	165	0.17474	0.119667	0.24199	0.0605824	0.0230658	0.213169	0.031331	0.257716	0.916317947749845	0.190715801270549
human	500kb-1Mb	200	0.1666915	0.1272995	0.22498125	0.0313552	0.014760375	0.0604017	0.0317644	0.229709	0.874112471027489	0.0987074148927463
pig	<10kb	772	0.2347595	0.1849965	0.3032485	0.0998517	0.0425214	0.21233475	0.04575975	0.243523	1	1
pig	10-50kb	2418	0.2289095	0.1837505	0.29190375	0.08052015	0.0338623	0.1616835	0.0448285	0.252865	0.975080880645937	0.806397387325404
pig	50-100kb	2317	0.230056	0.184198	0.295334	0.073605	0.0321054	0.143703	0.0453591	0.233161	0.979964602071482	0.737143183340895
pig	100-250kb	5211	0.229853	0.183405	0.288194	0.0653441	0.0298278	0.125169	0.0449299	0.238663	0.979099887331503	0.654411492242996
pig	250-500kb	6729	0.230953	0.183719	0.29194	0.059034	0.0264582	0.112817	0.045137	0.237047	0.983785533705771	0.591216774476549
pig	500kb-1Mb	12371	0.228741	0.181217	0.2885545	0.0547974	0.025308	0.100846	0.0447413	0.238342	0.97436312481497	0.548787852385087
