gene_id	gene_biotype
ENSSSCG00000000002	protein_coding
ENSSSCG00000000003	protein_coding
ENSSSCG00000000005	protein_coding
ENSSSCG00000000006	protein_coding
ENSSSCG00000000007	protein_coding
ENSSSCG00000000010	protein_coding
ENSSSCG00000000014	protein_coding
ENSSSCG00000000018	protein_coding
ENSSSCG00000000019	protein_coding
ENSSSCG00000000020	protein_coding
ENSSSCG00000000021	protein_coding
ENSSSCG00000000022	protein_coding
ENSSSCG00000000024	protein_coding
ENSSSCG00000000025	protein_coding
ENSSSCG00000000026	protein_coding
ENSSSCG00000000028	protein_coding
ENSSSCG00000000029	protein_coding
ENSSSCG00000000031	protein_coding
ENSSSCG00000000033	protein_coding
ENSSSCG00000000034	protein_coding
ENSSSCG00000000035	protein_coding
ENSSSCG00000000036	protein_coding
ENSSSCG00000000037	protein_coding
ENSSSCG00000000038	protein_coding
ENSSSCG00000000039	protein_coding
ENSSSCG00000000040	protein_coding
ENSSSCG00000000045	protein_coding
ENSSSCG00000000046	protein_coding
ENSSSCG00000000050	protein_coding
ENSSSCG00000000057	pseudogene
ENSSSCG00000000058	protein_coding
ENSSSCG00000000059	protein_coding
ENSSSCG00000000061	protein_coding
ENSSSCG00000000062	protein_coding
ENSSSCG00000000063	protein_coding
ENSSSCG00000000064	protein_coding
ENSSSCG00000000066	protein_coding
ENSSSCG00000000067	protein_coding
ENSSSCG00000000068	protein_coding
ENSSSCG00000000071	protein_coding
ENSSSCG00000000072	protein_coding
ENSSSCG00000000073	protein_coding
ENSSSCG00000000074	protein_coding
ENSSSCG00000000075	protein_coding
ENSSSCG00000000076	protein_coding
ENSSSCG00000000077	protein_coding
ENSSSCG00000000078	protein_coding
ENSSSCG00000000079	protein_coding
ENSSSCG00000000080	protein_coding
ENSSSCG00000000081	protein_coding
ENSSSCG00000000082	protein_coding
ENSSSCG00000000084	protein_coding
ENSSSCG00000000087	protein_coding
ENSSSCG00000000091	protein_coding
ENSSSCG00000000092	protein_coding
ENSSSCG00000000093	protein_coding
ENSSSCG00000000094	protein_coding
ENSSSCG00000000095	protein_coding
ENSSSCG00000000097	protein_coding
ENSSSCG00000000103	protein_coding
ENSSSCG00000000104	protein_coding
ENSSSCG00000000105	protein_coding
ENSSSCG00000000106	protein_coding
ENSSSCG00000000107	protein_coding
ENSSSCG00000000108	protein_coding
ENSSSCG00000000110	protein_coding
ENSSSCG00000000111	protein_coding
ENSSSCG00000000113	protein_coding
ENSSSCG00000000114	protein_coding
ENSSSCG00000000116	protein_coding
ENSSSCG00000000117	protein_coding
ENSSSCG00000000118	protein_coding
ENSSSCG00000000119	protein_coding
ENSSSCG00000000120	protein_coding
ENSSSCG00000000121	protein_coding
ENSSSCG00000000130	protein_coding
ENSSSCG00000000131	protein_coding
ENSSSCG00000000132	protein_coding
ENSSSCG00000000133	protein_coding
ENSSSCG00000000135	protein_coding
ENSSSCG00000000136	protein_coding
ENSSSCG00000000137	protein_coding
ENSSSCG00000000138	protein_coding
ENSSSCG00000000139	protein_coding
ENSSSCG00000000141	protein_coding
ENSSSCG00000000142	protein_coding
ENSSSCG00000000144	protein_coding
ENSSSCG00000000145	protein_coding
ENSSSCG00000000146	protein_coding
ENSSSCG00000000148	protein_coding
ENSSSCG00000000151	protein_coding
ENSSSCG00000000152	protein_coding
ENSSSCG00000000156	protein_coding
ENSSSCG00000000157	protein_coding
ENSSSCG00000000158	protein_coding
ENSSSCG00000000159	protein_coding
ENSSSCG00000000160	protein_coding
ENSSSCG00000000161	protein_coding
ENSSSCG00000000162	protein_coding
ENSSSCG00000000164	protein_coding
ENSSSCG00000000167	protein_coding
ENSSSCG00000000169	protein_coding
ENSSSCG00000000171	protein_coding
ENSSSCG00000000174	protein_coding
ENSSSCG00000000175	protein_coding
ENSSSCG00000000176	protein_coding
ENSSSCG00000000179	protein_coding
ENSSSCG00000000182	protein_coding
ENSSSCG00000000183	protein_coding
ENSSSCG00000000184	protein_coding
ENSSSCG00000000185	protein_coding
ENSSSCG00000000186	protein_coding
ENSSSCG00000000188	protein_coding
ENSSSCG00000000189	protein_coding
ENSSSCG00000000190	protein_coding
ENSSSCG00000000194	protein_coding
ENSSSCG00000000195	protein_coding
ENSSSCG00000000197	protein_coding
ENSSSCG00000000198	protein_coding
ENSSSCG00000000199	protein_coding
ENSSSCG00000000202	protein_coding
ENSSSCG00000000203	protein_coding
ENSSSCG00000000204	protein_coding
ENSSSCG00000000205	protein_coding
ENSSSCG00000000206	protein_coding
ENSSSCG00000000207	protein_coding
ENSSSCG00000000209	protein_coding
ENSSSCG00000000211	protein_coding
ENSSSCG00000000212	protein_coding
ENSSSCG00000000214	protein_coding
ENSSSCG00000000215	protein_coding
ENSSSCG00000000216	protein_coding
ENSSSCG00000000217	protein_coding
ENSSSCG00000000220	protein_coding
ENSSSCG00000000223	protein_coding
ENSSSCG00000000228	protein_coding
ENSSSCG00000000231	protein_coding
ENSSSCG00000000232	protein_coding
ENSSSCG00000000233	protein_coding
ENSSSCG00000000234	protein_coding
ENSSSCG00000000235	protein_coding
ENSSSCG00000000236	protein_coding
ENSSSCG00000000238	protein_coding
ENSSSCG00000000239	protein_coding
ENSSSCG00000000240	protein_coding
ENSSSCG00000000241	protein_coding
ENSSSCG00000000247	protein_coding
ENSSSCG00000000248	protein_coding
ENSSSCG00000000249	protein_coding
ENSSSCG00000000250	protein_coding
ENSSSCG00000000251	protein_coding
ENSSSCG00000000252	protein_coding
ENSSSCG00000000253	protein_coding
ENSSSCG00000000257	protein_coding
ENSSSCG00000000258	protein_coding
ENSSSCG00000000259	protein_coding
ENSSSCG00000000260	protein_coding
ENSSSCG00000000261	protein_coding
ENSSSCG00000000262	protein_coding
ENSSSCG00000000263	protein_coding
ENSSSCG00000000264	protein_coding
ENSSSCG00000000265	protein_coding
ENSSSCG00000000267	protein_coding
ENSSSCG00000000268	protein_coding
ENSSSCG00000000271	protein_coding
ENSSSCG00000000272	protein_coding
ENSSSCG00000000273	protein_coding
ENSSSCG00000000274	protein_coding
ENSSSCG00000000275	protein_coding
ENSSSCG00000000276	protein_coding
ENSSSCG00000000277	protein_coding
ENSSSCG00000000278	protein_coding
ENSSSCG00000000279	protein_coding
ENSSSCG00000000281	protein_coding
ENSSSCG00000000288	protein_coding
ENSSSCG00000000289	protein_coding
ENSSSCG00000000290	protein_coding
ENSSSCG00000000291	pseudogene
ENSSSCG00000000292	protein_coding
ENSSSCG00000000293	protein_coding
ENSSSCG00000000295	protein_coding
ENSSSCG00000000296	protein_coding
ENSSSCG00000000297	protein_coding
ENSSSCG00000000298	protein_coding
ENSSSCG00000000299	protein_coding
ENSSSCG00000000312	protein_coding
ENSSSCG00000000318	protein_coding
ENSSSCG00000000327	protein_coding
ENSSSCG00000000332	protein_coding
ENSSSCG00000000333	protein_coding
ENSSSCG00000000352	pseudogene
ENSSSCG00000000353	protein_coding
ENSSSCG00000000359	protein_coding
ENSSSCG00000000361	protein_coding
ENSSSCG00000000362	protein_coding
ENSSSCG00000000363	protein_coding
ENSSSCG00000000364	protein_coding
ENSSSCG00000000365	protein_coding
ENSSSCG00000000366	protein_coding
ENSSSCG00000000367	protein_coding
ENSSSCG00000000368	protein_coding
ENSSSCG00000000370	protein_coding
ENSSSCG00000000371	protein_coding
ENSSSCG00000000376	protein_coding
ENSSSCG00000000377	protein_coding
ENSSSCG00000000379	protein_coding
ENSSSCG00000000382	protein_coding
ENSSSCG00000000383	protein_coding
ENSSSCG00000000384	protein_coding
ENSSSCG00000000385	protein_coding
ENSSSCG00000000386	protein_coding
ENSSSCG00000000393	protein_coding
ENSSSCG00000000394	protein_coding
ENSSSCG00000000396	protein_coding
ENSSSCG00000000398	protein_coding
ENSSSCG00000000399	protein_coding
ENSSSCG00000000400	protein_coding
ENSSSCG00000000401	protein_coding
ENSSSCG00000000402	protein_coding
ENSSSCG00000000403	protein_coding
ENSSSCG00000000405	protein_coding
ENSSSCG00000000406	protein_coding
ENSSSCG00000000411	protein_coding
