sim_category	demography	gtex_n	replicates	causal_min_maf	n_gwas_traits	n_causal_tested	n_gwas_cpip_tested	n_gtex_cpip_tested	fm_filtered	fm_r2	params_source	gwas_mult	gtex_mult	enloc_pow_rcp50	enloc_fp_rcp50	enloc_pow_rcp90	enloc_fp_rcp90	enloc_pow_lcp50	enloc_fp_lcp50	enloc_pow_lcp90	enloc_fp_lcp90	enloc_hit_med_gtex_sigs_rcp50	enloc_hit_med_gtex_sigs_rcp90	enloc_hit_med_gtex_sigs_lcp50	enloc_hit_med_gtex_sigs_lcp90	auc_enloc_50	auc_enloc_90	gwas_cpip_50	gtex_cpip_50	gwas_cpip_90	gtex_cpip_90	gwas_mean_cs_all	gwas_mean_cs_causative	gtex_mean_cs_all	gtex_mean_cs_causative	gwas_median_cs_all	gwas_median_cs_causative	gtex_median_cs_all	gtex_median_cs_causative
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	5	5	1	0	1	0	1	0	1	0	1	1	1	1	0.51	0.51	6	0	5	0	3.72	2.62	7.28	5.0	2.0	2	5.0	5
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	5	20	10	0	9	0	10	0	9	0	1.0	1	1.0	1	0.6	0.59	6	12	5	11	3.72	2.62	6.8	5.86	2.0	2	5.0	4.0
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	10	10	7	0	5	0	7	0	5	0	1	1	1	1	0.57	0.55	21	3	18	1	4.21	3.86	7.22	6.8	3.0	2.0	5.0	6.5
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	15	15	22	1	13	0	22	1	13	0	1.0	1	1.0	1	0.71	0.63	29	9	27	7	4.13	3.26	6.82	8.55	3.0	2	5.0	6.0
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	20	20	26	1	23	1	26	1	23	1	1.0	1	1.0	1	0.75	0.72	39	12	36	11	3.57	2.22	6.8	5.86	2.0	1	5.0	4.0
A	human	1000	1	0.01	50	50	50	50	False	0.25	inferred	35	35	37	1	34	0	37	1	34	0	1	1.0	1	1.0	0.86	0.84	42	28	42	27	3.44	2.11	6.16	3.95	2	1	4	2
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	5	5	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0.5	0.5	6	0	5	0	3.72	2.62	9.54	12.5	2.0	2	6	13.5
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	5	20	9	0	9	0	9	0	9	0	1	1	1	1	0.59	0.59	6	9	5	7	3.72	2.62	9.38	8.58	2.0	2	7	5.5
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	10	10	6	2	4	1	6	2	4	1	1.0	1.0	1.0	1.0	0.54	0.53	21	1	18	0	4.21	3.86	9.85	10.6	3.0	2.0	7.0	9.5
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	15	15	15	4	8	2	15	4	8	2	1	1.0	1	1.0	0.61	0.56	29	6	27	5	4.13	3.26	9.53	8.0	3.0	2	7.0	5.0
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	20	20	25	2	19	1	25	2	19	1	1	1	1	1	0.73	0.68	39	9	36	7	3.57	2.22	9.38	8.58	2.0	1	7	5.5
A	human	500	1	0.01	50	50	50	50	False	0.25	inferred	35	35	35	0	30	0	35	0	30	0	1	1.0	1	1.0	0.85	0.8	42	24	42	21	3.44	2.11	8.56	6.14	2	1	6.0	3
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	5	5	1	0	1	0	1	0	1	0	1	1	1	1	0.51	0.51	6	0	5	0	1.67	1.77	3.08	2.0	1.0	2	2.0	2
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	5	20	10	0	9	0	10	0	9	0	1.0	1	1.0	1	0.6	0.59	6	12	5	9	1.67	1.77	3.33	2.81	1.0	2	2	2
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	10	10	6	1	5	0	6	1	5	0	1.0	1	1.0	1	0.55	0.55	20	3	18	1	2.01	2.64	3.18	2.57	1.0	2.0	2.0	2
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	15	15	21	1	12	0	21	1	12	0	1	1.0	1	1.0	0.7	0.62	29	8	26	6	2.01	2.21	3.34	4.86	1	1	2.0	4
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	20	20	26	1	23	1	26	1	23	1	1.0	1	1.0	1	0.75	0.72	39	12	36	9	1.92	2.05	3.33	2.81	1	1	2	2
A	human	1000	1	0.01	50	50	50	50	False	0.75	inferred	35	35	34	0	34	0	34	0	34	0	1.0	1.0	1.0	1.0	0.84	0.84	42	28	42	27	1.86	1.93	3.25	2.21	1	1	2	1.0
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	5	5	0	0	0	0	0	0	0	0	NA	NA	NA	NA	0.5	0.5	6	0	5	0	1.67	1.77	5.69	7.0	1.0	2	3	7
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	5	20	9	0	9	0	9	0	9	0	1	1	1	1	0.59	0.59	6	9	5	7	1.67	1.77	5.55	4.67	1.0	2	4.0	2.5
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	10	10	5	2	5	0	5	2	5	0	1	1	1	1	0.53	0.55	20	1	18	0	2.01	2.64	5.84	4.0	1.0	2.0	3	5
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	15	15	14	3	8	1	14	3	8	1	1.0	1.0	1.0	1.0	0.61	0.57	29	6	26	4	2.01	2.21	5.68	4.2	1	1	4	3
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	20	20	24	1	18	0	24	1	18	0	1.0	1.0	1.0	1.0	0.73	0.68	39	9	36	7	1.92	2.05	5.55	4.67	1	1	4.0	2.5
A	human	500	1	0.01	50	50	50	50	False	0.75	inferred	35	35	31	0	29	0	31	0	29	0	1	1	1	1	0.81	0.79	42	23	42	18	1.86	1.93	5.43	2.39	1	1	3.0	2
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	5	5	2	6	1	3	2	6	1	3	2.5	1	2.5	1	0.46	0.48	9	0	7	0	4.71	7.08	5.07	6.67	2.5	4.5	3	5
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	5	20	17	7	15	3	17	7	15	3	2	1	2	1	0.6	0.62	9	21	7	12	4.71	7.08	4.71	6.16	2.5	4.5	3	4
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	10	10	13	11	10	2	13	11	11	2	2	1.0	2	1	0.52	0.58	26	5	23	4	4.36	5.0	5.73	7.93	3.0	3.0	4.0	7.5
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	15	15	22	10	22	4	22	10	22	4	2.0	1.0	2.0	1.0	0.62	0.68	36	12	31	9	3.93	3.17	5.08	6.59	2.0	2	3	4.0
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	20	20	30	3	27	2	30	3	27	2	1.0	1	1.0	1	0.77	0.75	40	21	40	12	3.36	2.21	4.71	6.16	2.0	1	3	4
A	human	1000	1	0.01	50	50	50	50	True	0.25	inferred	35	35	41	4	40	3	41	4	40	3	1	1.0	1	1.0	0.87	0.87	45	32	42	28	3.33	2.32	3.88	3.98	2	1	3	2.0
A	human	500	1	0.01	50	50	50	50	True	0.25	inferred	5	5	3	8	0	0	3	8	0	0	1	NA	1	NA	0.45	0.5	9	0	7	0	4.71	7.08	5.18	7.86	2.5	4.5	3.0	8
A	human	500	1	0.01	50	50	50	50	True	0.25	inferred	5	20	14	5	11	1	14	5	11	2	1.5	1	1.5	1	0.59	0.6	9	12	7	8	4.71	7.08	5.72	7.59	2.5	4.5	4.0	4
A	human	500	1	0.01	50	50	50	50	True	0.25	inferred	10	10	9	10	6	5	9	10	6	5	1	1.0	1	1.0	0.49	0.51	26	3	23	1	4.36	5.0	5.52	8.23	3.0	3.0	4	8
A	human	500	1	0.01	50	50	50	50	True	0.25	inferred	15	15	18	10	17	5	18	10	17	5	1.0	1	1.0	1	0.58	0.62	36	7	31	6	3.93	3.17	5.76	8.8	2.0	2	4	5.5
A	human	500	1	0.01	50	50	50	50	True	0.25	inferred	20	20	28	3	25	3	28	3	25	4	1.0	1	1.0	1	0.75	0.72	40	12	40	8	3.36	2.21	5.72	7.59	2.0	1	4.0	4
