category	species	trait	study	gene	human_ortholog	human_symbol
size	human	bmi	pividori	ENSG00000189339	ENSG00000189339	SLC35E2B
size	human	bmi	pividori	ENSG00000162613	ENSG00000162613	FUBP1
size	human	bmi	pividori	ENSG00000117523	ENSG00000117523	PRRC2C
size	human	bmi	pividori	ENSG00000204463	ENSG00000204463	BAG6
size	human	bmi	pividori	ENSG00000204472	ENSG00000204472	AIF1
size	human	bmi	pividori	ENSG00000122515	ENSG00000122515	ZMIZ2
size	human	bmi	pividori	ENSG00000104960	ENSG00000104960	PTOV1
size	human	bmi	pividori	ENSG00000168995	ENSG00000168995	SIGLEC7
size	human	bmi	pividori	ENSG00000129450	ENSG00000129450	SIGLEC9
size	human	bmi	pividori	ENSG00000242628	ENSG00000242628	NA
size	human	bmi	pividori	ENSG00000178950	ENSG00000178950	GAK
size	human	bmi	pividori	ENSG00000104219	ENSG00000104219	ZDHHC2
size	human	bmi	pividori	ENSG00000134291	ENSG00000134291	TMEM106C
size	human	bmi	pividori	ENSG00000182636	ENSG00000182636	NDN
size	human	bmi	pividori	ENSG00000214401	ENSG00000214401	KANSL1-AS1
size	human	bmi	pividori	ENSG00000227775	ENSG00000227775	NA
size	human	bmi	pividori	ENSG00000204682	ENSG00000204682	MIR1915HG
size	human	bmi	pividori	ENSG00000266918	ENSG00000266918	NA
size	human	bmi	pividori	ENSG00000222019	ENSG00000222019	NA
size	human	bmi	pividori	ENSG00000197826	ENSG00000197826	CFAP299
size	human	bmi	pividori	ENSG00000226200	ENSG00000226200	NA
size	human	bmi	pividori	ENSG00000261675	ENSG00000261675	NA
size	human	bmi	pividori	ENSG00000188130	ENSG00000188130	MAPK12
size	human	bmi	pividori	ENSG00000099958	ENSG00000099958	DERL3
size	human	bmi	pividori	ENSG00000101210	ENSG00000101210	EEF1A2
size	human	bmi	pividori	ENSG00000128266	ENSG00000128266	GNAZ
size	human	bmi	pividori	ENSG00000251226	ENSG00000251226	LINC02714
size	human	bmi	pividori	ENSG00000120071	ENSG00000120071	KANSL1
size	human	bmi	pividori	ENSG00000243926	ENSG00000243926	TIPARP-AS1
size	human	bmi	pividori	ENSG00000185615	ENSG00000185615	PDIA2
size	human	bmi	pividori	ENSG00000065057	ENSG00000065057	NTHL1
size	human	bmi	pividori	ENSG00000223705	ENSG00000223705	NSUN5P1
size	human	bmi	pividori	ENSG00000225302	ENSG00000225302	NA
size	human	bmi	pividori	ENSG00000138039	ENSG00000138039	LHCGR
size	human	bmi	pividori	ENSG00000179912	ENSG00000179912	R3HDM2
size	human	bmi	pividori	ENSG00000248333	ENSG00000248333	CDK11B
